ID,alpha,alpha째,beta,beta째,width,width째,height,height째,landmark_diameter,actual_distance,measured_distance
64,0.0164002869278,0.939667223768,0.0419715382159,2.40479199944,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0153622943908,0.88019463223,0.0415388457477,2.38000054719,0.176043733954,10.0865629653,0.176043733954,10.0865629653,10.2,50.0,57.7904334792,F
64,0.0153622943908,0.88019463223,0.0415388457477,2.38000054719,0.176043733954,10.0865629653,0.176043733954,10.0865629653,10.2,50.0,57.7904334792,F
64,0.0404817536473,2.31943363128,0.0415388457477,2.38000054719,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0404817536473,2.31943363128,0.0415388457477,2.38000054719,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0444261170924,2.54542900955,0.040240727365,2.30562384255,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0263650342822,1.51060519109,0.040673468262,2.33041806957,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0263650342822,1.51060519109,0.040673468262,2.33041806957,0.177704513073,10.1817185995,0.177704513073,10.1817185995,10.2,50.0,57.247526392,F
64,0.0149471033365,0.856405937125,0.0419715382159,2.40479199944,0.176043733954,10.0865629653,0.176043733954,10.0865629653,10.2,50.0,57.7904334792,F
64,0.0149471033365,0.856405937125,0.0419715382159,2.40479199944,0.176043733954,10.0865629653,0.176043733954,10.0865629653,10.2,50.0,57.7904334792,F
64,-0.0344614051282,-1.97449306994,0.0640390515327,3.66916737685,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0274030584842,-1.57007959689,0.0640390515327,3.66916737685,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0274030584842,-1.57007959689,0.0640390515327,3.66916737685,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,0.00456716585904,0.261679328059,0.0629572793841,3.60718639834,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,0.00456716585904,0.261679328059,0.0629572793841,3.60718639834,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,0.00871914066374,0.499569961013,0.0636063665152,3.64437635148,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0342537909746,-1.96259765517,0.0640390515327,3.66916737685,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0114179309458,-0.654199253964,0.063822709024,3.65677186416,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0114179309458,-0.654199253964,0.063822709024,3.65677186416,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,-0.0114179309458,-0.654199253964,0.063822709024,3.65677186416,0.357069820166,20.458593687,0.357069820166,20.458593687,10.2,25.0,28.2616855528,F
64,0.0089267520234,0.511465215701,0.0430532619357,2.46677020319,0.117916084826,6.75609399724,0.117916084826,6.75609399724,10.2,75.0,86.401941709,F
64,0.0089267520234,0.511465215701,0.0430532619357,2.46677020319,0.117916084826,6.75609399724,0.117916084826,6.75609399724,10.2,75.0,86.401941709,F
64,0.0172307025641,0.987246534969,0.0415388457477,2.38000054719,0.117916084826,6.75609399724,0.117916084826,6.75609399724,10.2,75.0,86.401941709,F
64,0.0172307025641,0.987246534969,0.0415388457477,2.38000054719,0.117916084826,6.75609399724,0.117916084826,6.75609399724,10.2,75.0,86.401941709,F
64,0.000830382283311,0.0475774002162,0.0417551919818,2.39239627332,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,0.000830382283311,0.0475774002162,0.0417551919818,2.39239627332,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,-0.00747356750071,-0.428203875697,0.0428369157016,2.45437447706,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,-0.00747356750071,-0.428203875697,0.0428369157016,2.45437447706,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,-0.00560519145802,-0.321153813907,0.0417551919818,2.39239627332,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,-0.00456719752401,-0.261681142328,0.0428369157016,2.45437447706,0.116255298257,6.66093793615,0.116255298257,6.66093793615,10.2,75.0,87.6390974346,F
64,-0.0180611163378,-1.03482573945,0.0493273586035,2.82624946251,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,-0.0180611163378,-1.03482573945,0.0493273586035,2.82624946251,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,0.000207611417864,0.0118952580223,0.0482456348836,2.76427125876,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,0.000207611417864,0.0118952580223,0.0482456348836,2.76427125876,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,0.0114179309458,0.654199253964,0.0486783236265,2.78906249757,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,0.0114179309458,0.654199253964,0.0486783236265,2.78906249757,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,-0.0014532165369,-0.0832631742831,0.0495437048376,2.83864518863,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,-0.0014532165369,-0.0832631742831,0.0495437048376,2.83864518863,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,-0.0178535040468,-1.0229304314,0.0495437048376,2.83864518863,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,-0.0166078992188,-0.951562531816,0.0482456348836,2.76427125876,0.380320876837,21.7907811035,0.380320876837,21.7907811035,19.8,50.0,51.4322544504,F
64,0.00207598740235,0.118945316477,0.0452167578042,2.59072938544,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0213826447725,-1.22513530029,0.0475965999067,2.72708429383,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0213826447725,-1.22513530029,0.0475965999067,2.72708429383,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0182686634362,-1.04671731224,0.0465148277581,2.66510331532,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0182686634362,-1.04671731224,0.0465148277581,2.66510331532,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.00705834431574,-0.404413339642,0.0439186915755,2.51635566901,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.00705834431574,-0.404413339642,0.0439186915755,2.51635566901,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0209674853832,-1.20134841946,0.0450004152954,2.57833387276,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0211750976741,-1.21324372751,0.0450004152954,2.57833387276,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,-0.0211750976741,-1.21324372751,0.0450004152954,2.57833387276,0.250779271126,14.3685938249,0.250779271126,14.3685938249,19.8,75.0,78.5396738744,F
64,0.00996474549174,0.570937860599,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0251194611192,1.43923910577,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0251194611192,1.43923910577,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0263650342822,1.51060519109,0.0387263149023,2.2188544,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0263650342822,1.51060519109,0.0387263149023,2.2188544,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0101723251864,0.582831301017,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.0101723251864,0.582831301017,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.00539758009836,0.30925855922,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.00539758009836,0.30925855922,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
64,0.00539758009836,0.30925855922,0.0395916961133,2.26843709106,0.189330041409,10.8478123077,0.189330041409,10.8478123077,19.8,100.0,104.266701739,F
